id,brand,model,url,type,formfactor,platform,library,width,height,v,i,w,dependency,category,portname,porttype,functiontype,functionpintype,v_min,v_max,x,y,connectivity,compatibility,action,param,min,max,unit,constraint,value,valuemin,valuemax,valueunit,valueconstraint,count
DEV-13743,Sparkfun,SparkFun Level Shifting microSD Breakout,https://www.sparkfun.com/products/13743,PERIPHERAL,BREAKOUT_BOARD_ONESIDE,ARDUINO,,128,173,,,,,,VCC,WIRE,POWER,VCC,3.3,5,10,163,SPI_1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,CS,WIRE,SPI_1,SPI_SS,3.3,5,24.4,163,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,DI,WIRE,SPI_1,SPI_MOSI,3.3,5,38.8,163,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,SCK,WIRE,SPI_1,SPI_SCK,3.3,5,53.2,163,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,DO,WIRE,SPI_1,SPI_MISO,3.3,5,67.6,163,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,CO,WIRE,,,,,82,163,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,GND,WIRE,POWER,GND,,,96.4,163,,,,,,,,,,,,,,
Adafruit-1063,Adafruit,Electret Microphone Amplifier - MAX4466 with Adjustable Gain,https://www.adafruit.com/product/1063,PERIPHERAL,BREAKOUT_BOARD_ONESIDE,ARDUINO,MP_MAX4466,79.2,122.4,,,,,,OUT,WIRE,ANALOG_1,INOUT,,,21.646,110.924,ANALOG_1,Sound,Compare,,,,,,Sound Level,0,0,DECIBEL,,
,,,,,,,,,,,,,,,GND,WIRE,POWER,GND,,,36.046,110.924,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,VCC,WIRE,POWER,VCC,2.4,5.5,50.446,110.924,,,,,,,,,,,,,,
Adafruit-2130,Adafruit,Adafruit Mono 2.5W Class D Audio Amplifier - PAM8302,https://www.adafruit.com/products/2130,PERIPHERAL,BREAKOUT_BOARD_ONESIDE,ARDUINO,MP_PAM8302,86.4,136.8,0,0,2.5,,AMPLIFIER,A+,WIRE,PWM_1,INOUT,,,80.793,119.519,PWM_1,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,A-,WIRE,POWER,GND,,,95.193,119.519,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,SD,WIRE,,,,,109.593,119.519,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,VIN,WIRE,POWER,VCC,2.5,5,123.993,119.519,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,GND,WIRE,POWER,GND,3.3,5,138.393,119.519,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,VCC,WIRE,POWER,VCC,3.3,5,4.602,119.594,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,CS,WIRE,SPI_1,SPI_SS,3.3,5,13.602,119.594,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,DI,WIRE,SPI_1,SPI_MOSI,3.3,5,22.602,119.594,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,SCK,WIRE,SPI_1,SPI_SCK,3.3,5,31.602,119.594,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,DO,WIRE,SPI_1,SPI_MISO,3.3,5,40.602,119.594,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,CD,WIRE,,,3.3,5,49.602,119.594,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,GND,WIRE,POWER,GND,3.3,5,58.602,119.594,,,,,,,,,,,,,,
Adafruit-2652,Adafruit,Adafruit BME280 I2C or SPI Temperature Humidity Pressure Sensor,https://www.adafruit.com/products/2652,PERIPHERAL,BREAKOUT_BOARD_ONESIDE,ARDUINO,MP_BME280,100.8,108,,,,,,VIN,WIRE,POWER,VCC,3,5,7.2,93.599,I2C_1,Temperature,Compare,,,,,,Temperature,-40,85,CELSIUS,,
,,,,,,,Adafruit_BME280,,,,,,,,3Vo,WIRE,,,,,21.6,93.599,,Humidity,Compare,,,,,,Humidity,0,100,PERCENT,,
,,,,,,,Adafruit_Sensor,,,,,,,,GND,WIRE,POWER,GND,,,36,93.599,,Pressuremeter,Compare,,,,,,Pressure,300,1100,HECTOPASCAL,,
,,,,,,,,,,,,,,,SCK,WIRE,I2C_1,I2C_SCL,3,5,50.4,93.599,,Altimeter,Compare,,,,,,Altitude,-698.43,9165.37,METER,,
,,,,,,,,,,,,,,,SDO,WIRE,,,,,64.8,93.599,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,SDI,WIRE,I2C_1,I2C_SDA,3,5,79.2,93.599,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,CS,WIRE,,,,,93.6,93.599,,,,,,,,,,,,,,
Adafruit-3251,Adafruit,Adafruit Si7021 Temperature & Humidity Sensor Breakout Board,https://www.adafruit.com/product/3251,PERIPHERAL,BREAKOUT_BOARD_ONESIDE,ARDUINO,Adafruit_Si7021,86.4,100.8,,,,,,VIN,WIRE,POWER,VCC,3.3,5,14.4,86.401,I2C_1,Temperature,Compare,,,,,,Temperature,-10,85,CELSIUS,,
,,,,,,,MP_Si7021,,,,,,,,3Vo,WIRE,,,,,28.8,86.401,,Humidity,Compare,,,,,,Humidity,0,80,PERCENT,,
,,,,,,,,,,,,,,,GND,WIRE,POWER,GND,,,43.2,86.401,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,SCL,WIRE,I2C_1,I2C_SCL,3.3,5,57.6,86.401,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,SDA,WIRE,I2C_1,I2C_SDA,3.3,5,72,86.401,,,,,,,,,,,,,,
Adafruit-1032,Adafruit,L3GD20H Triple-Axis Gyro Breakout Board - L3GD20/L3G4200 Upgrade - L3GD20H,https://www.adafruit.com/product/1032,PERIPHERAL,BREAKOUT_BOARD_ONESIDE,ARDUINO,MP_L3GD20,173,108,,,,,,SCL,WIRE,I2C_1,I2C_SCL,3,5,29,99,I2C_1,Gyroscope,Compare,,,,,,X,-2000,2000,DEGREEPERSEC,,
,,,,,,,Adafruit_Sensor,,,,,,,,SDA,WIRE,I2C_1,I2C_SDA,3,5,43.4,99,,,,,,,,,Y,-2000,2000,DEGREEPERSEC,,
,,,,,,,Adafruit_L3GD20_U,,,,,,,,SA0,WIRE,,,,,57.8,99,,,,,,,,,Z,-2000,2000,DEGREEPERSEC,,
,,,,,,,,,,,,,,,CS,WIRE,,,,,72.2,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,DRDY,WIRE,,,,,86.6,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,INT1,WIRE,,,,,101,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,GND,WIRE,POWER,GND,,,115.4,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3Vo,WIRE,,,,,129.8,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,VIN,WIRE,POWER,VCC,3,5,144.2,99,,,,,,,,,,,,,,
Adafruit-2023,Adafruit,Contact-less Infrared Thermopile Sensor Breakout - TMP007,https://www.adafruit.com/product/2023,PERIPHERAL,BREAKOUT_BOARD_ONESIDE,ARDUINO,Adafruit_TMP007,116,116,,,,,,VCC,WIRE,POWER,VCC,2.2,5.5,14.5,101.5,I2C_1,Temperature,Compare,,,,,,Temperature,-40,125,CELSIUS,,
,,,,,,,MP_TMP007,,,,,,,,GND,WIRE,POWER,GND,,,28.9,101.5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,SDA,WIRE,I2C_1,I2C_SDA,2.2,5.5,43.3,101.5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,SCL,WIRE,I2C_1,I2C_SCL,2.2,5.5,57.7,101.5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,ALERT,WIRE,,,,,72.1,101.5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,AD1,WIRE,,,,,86.5,101.5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,AD0,WIRE,,,,,100.9,101.5,,,,,,,,,,,,,,
SEN-13944,Sparkfun,SparkFun 9DoF Sensor Stick,https://www.sparkfun.com/products/13944,PERIPHERAL,BREAKOUT_BOARD_ONESIDE,ARDUINO,MP_LSM9DS1,59,131,,,,,,GND,WIRE,POWER,GND,1.9,3.6,7.2,122.4,I2C_1,Accelerometer,Compare,,,,,,X,-156.96,156.96,METERPERSECSQUARE,,1
,,,,,,,SparkFunLSM9DS1,,,,,,,,VDD,WIRE,POWER,VCC,1.9,3.6,21.6,122.4,,,,,,,,,Y,-156.96,156.96,METERPERSECSQUARE,,
,,,,,,,,,,,,,,,SDA,WIRE,I2C_1,I2C_SDA,1.9,3.6,36,122.4,,,,,,,,,Z,-156.96,156.96,METERPERSECSQUARE,,
,,,,,,,,,,,,,,,SCL,WIRE,I2C_1,I2C_SCL,1.9,3.6,50.4,122.4,,,,,,,,,,,,,,
DEV-13975,Sparkfun,SparkFun RedBoard,https://www.sparkfun.com/products/13975,CONTROLLER,STANDALONE,ARDUINO,,531,410,,,,,,0,WIRE,UART_1,UART_RX,5,5,493.5,21.907,GPIO_1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1,WIRE,UART_1,UART_TX,5,5,474.5,21.907,GPIO_2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2,WIRE,GPIO_1,INOUT,5,5,455.5,21.907,GPIO_3,,,,,,,,,,,,,
