name,description,action_name,fn_name,action_type,action_paramname,action_default,action_default_unit,action_constraintmin,action_constraintmax,action_constraintunit,action_constraintvalue,action_paramtype,action_control,value_name,value_datatype,value_constraintunit,value_constraintmin,value_constraintmax,value_constraintvalue
Button,This is button description,Wait For Press,isPressed,Active,,,,,,,,,,,,,,,
,,Click Count,isMultiPressed,Active,Count,1,TIME,1,100,TIME,,INTEGER,SPINBOX,,,,,,
,,Wait For Release,isReleased,Active,,,,,,,,,,,,,,,
Accelerometer,This is Accelerometer description,Compare,,Active,,,,,,,,,,X,DOUBLE,METERPERSECSQUARE,0,200,
,,,,,,,,,,,,,,Y,DOUBLE,METERPERSECSQUARE,0,200,
,,,,,,,,,,,,,,Z,DOUBLE,METERPERSECSQUARE,0,200,
,,Tap,isTapped,Active,,,,,,,,,,,,,,,
,,Free Fall,isFallen,Active,,,,,,,,,,,,,,,
Pressuremeter,This is button description,Compare,,Active,,,,,,,,,,Pressure,DOUBLE,HECTOPASCAL,300,1150,
Altimeter,This is button description,Compare,,Active,,,,,,,,,,Altitude,DOUBLE,METER,0,0,
Temperature,This is button description,Compare,,Active,,,,,,,,,,Temperature,DOUBLE,CELSIUS,0,0,
Gyroscope,This is button description,Compare,,Active,,,,,,,,,,X,DOUBLE,RADIUSPERSEC,0,0,
,,,,,,,,,,,,,,Y,DOUBLE,RADIUSPERSEC,0,0,
,,,,,,,,,,,,,,Z,DOUBLE,RADIUSPERSEC,0,0,
Humidity,This is button description,Compare,,Active,,,,,,,,,,Humidity,DOUBLE,PERCENT,0,100,
Sound,This is button description,Compare,,Active,,,,,,,,,,Sound Level,INTEGER,DECIBEL,0,0,
Magnetometer,This is button description,Compare,,Active,,,,,,,,,,Heading,ENUM,NOT_SPECIFIED,,,North
,,,,,,,,,,,,,,,,,,,South
,,,,,,,,,,,,,,,,,,,East
,,,,,,,,,,,,,,,,,,,West
,,,,,,,,,,,,,,X,DOUBLE,MICROTESLA,0,200,
,,,,,,,,,,,,,,Y,DOUBLE,MICROTESLA,0,200,
,,,,,,,,,,,,,,Z,DOUBLE,MICROTESLA,0,200,
,,Direction,checkDirection,Active,Direction,North,,,,,North,ENUM,DROPDOWN,,,,,,
,,,,,,,,,,,South,,,,,,,,
,,,,,,,,,,,East,,,,,,,,
,,,,,,,,,,,West,,,,,,,,
Distance,This is button description,Compare,,Active,,,,,,,,,,Distance,DOUBLE,CENTIMETER,0,0,
Light,This is button description,Compare,,Active,,,,,,,,,,Light Level,DOUBLE,LUX,0.1,40000,
Presence,This is button description,Detect Human,isDetected,Active,,,,,,,,,,,,,,,
Orientation,This is button description,Compare,,Active,,,,,,,,,,Roll,INTEGER,DEGREE,0,0,
,,,,,,,,,,,,,,Pitch,INTEGER,DEGREE,0,0,
,,,,,,,,,,,,,,Yaw,INTEGER,DEGREE,0,0,
Time,This is button description,Compare,,Active,,,,,,,,,,Time,CUSTOM,,,,
,,,,,,,,,,,,,,Date,CUSTOM,,,,
Color,This is button description,Detect Color,isColor,Active,Color,Red,,,,,Red,ENUM,DROPDOWN,,,,,,
,,,,,,,,,,,Green,,,,,,,,
,,,,,,,,,,,Blue,,,,,,,,
,,,,,,,,,,,Cyan,,,,,,,,
,,,,,,,,,,,Magenta,,,,,,,,
,,,,,,,,,,,Yellow,,,,,,,,
Heart,This is button description,Compare,,Active,,,,,,,,,,Heartrate,INTEGER,BPM,40,200,
Soil,This is button description,Compare,,Active,,,,,,,,,,Moister,INTEGER,NOT_SPECIFIED,0,0,
